date,mean_amplitude,mean_acrophase,mean_mesor,amplitude_std,acrophase_std,mesor_std,p_value,r_squared,Label
2022-02-25,,,,,,,,,M6
2022-02-26,,,,,,,,,M6
2022-02-27,,,,,,,,,M6
2022-02-28,,,,,,,,,M6
2023-11-01,,,,,,,,,M6
2023-11-02,,,,,,,,,M6
2023-11-03,,,,,,,,,M6
2023-11-04,,,,,,,,,M6
2023-11-05,,,,,,,,,M6
2023-11-06,,,,,,,,,M6
2023-11-07,,,,,,,,,M6
2023-11-08,,,,,,,,,M6
2023-11-09,,,,,,,,,M6
2023-11-10,,,,,,,,,M6
2023-11-11,,,,,,,,,M6
2023-11-12,,,,,,,,,M6
2023-11-13,,,,,,,,,M6
2023-11-14,,,,,,,,,M6
2023-11-15,,,,,,,,,M6
2023-11-16,,,,,,,,,M6
2023-11-17,,,,,,,,,M6
2023-11-18,,,,,,,,,M6
2023-11-19,,,,,,,,,M6
2023-11-20,,,,,,,,,M6
2023-11-21,,,,,,,,,M6
2023-11-22,,,,,,,,,M6
2023-11-23,,,,,,,,,M6
2023-11-24,,,,,,,,,M6
2023-11-25,,,,,,,,,M6
2023-11-26,,,,,,,,,M6
2023-11-27,,,,,,,,,M6
2023-11-28,,,,,,,,,M6
2023-11-29,,,,,,,,,M6
2023-11-30,,,,,,,,,M6
2025-01-27,,,,,,,,,M6
2025-01-28,,,,,,,,,M6
2025-01-29,,,,,,,,,M6
2025-01-30,,,,,,,,,M6
2025-01-31,,,,,,,,,M6
2025-02-01,,,,,,,,,M6
2025-02-02,,,,,,,,,M6
2025-02-03,,,,,,,,,M6
2025-02-04,,,,,,,,,M6
2025-02-05,,,,,,,,,M6
2025-02-06,,,,,,,,,M6
2025-02-07,,,,,,,,,M6
2025-02-08,,,,,,,,,M6
2025-02-09,,,,,,,,,M6
2025-02-10,,,,,,,,,M6
2025-02-11,,,,,,,,,M6
2025-02-12,,,,,,,,,M6
2025-02-13,,,,,,,,,M6
2025-02-14,,,,,,,,,M6
2025-02-15,,,,,,,,,M6
2025-02-16,,,,,,,,,M6
2025-02-17,,,,,,,,,M6
2025-02-18,,,,,,,,,M6
2025-02-19,,,,,,,,,M6
2025-02-20,,,,,,,,,M6
2025-02-21,,,,,,,,,M6
2025-02-22,,,,,,,,,M6
2025-02-23,,,,,,,,,M6
2025-02-24,,,,,,,,,M6
2025-02-25,,,,,,,,,M6
