date,mean_amplitude,mean_acrophase,mean_mesor,amplitude_std,acrophase_std,mesor_std,p_value,r_squared,Label
2025-04-18,,,,,,,,,M45
2025-04-19,,,,,,,,,M45
2025-04-20,,,,,,,,,M45
2025-04-21,,,,,,,,,M45
2025-04-22,,,,,,,,,M45
2025-04-23,,,,,,,,,M45
2025-04-24,,,,,,,,,M45
2025-04-25,,,,,,,,,M45
2025-04-26,,,,,,,,,M45
2025-04-27,,,,,,,,,M45
2025-04-28,,,,,,,,,M45
2025-04-29,,,,,,,,,M45
2025-04-30,,,,,,,,,M45
2025-05-01,,,,,,,,,M45
2025-05-02,,,,,,,,,M45
2025-05-03,,,,,,,,,M45
2025-05-04,,,,,,,,,M45
2025-05-05,,,,,,,,,M45
2025-05-06,,,,,,,,,M45
2025-05-07,,,,,,,,,M45
2025-05-08,,,,,,,,,M45
2025-05-09,,,,,,,,,M45
2025-05-10,,,,,,,,,M45
2025-05-11,,,,,,,,,M45
2025-05-12,,,,,,,,,M45
2025-05-13,,,,,,,,,M45
2025-05-14,,,,,,,,,M45
2025-05-15,,,,,,,,,M45
2025-05-16,,,,,,,,,M45
2025-05-17,,,,,,,,,M45
2025-05-18,,,,,,,,,M45
2025-05-19,,,,,,,,,M45
2025-05-20,,,,,,,,,M45
2025-05-21,,,,,,,,,M45
2025-05-22,,,,,,,,,M45
2025-05-23,,,,,,,,,M45
2025-05-24,,,,,,,,,M45
2025-05-25,,,,,,,,,M45
2025-05-26,,,,,,,,,M45
2025-05-27,,,,,,,,,M45
2025-05-28,,,,,,,,,M45
2025-05-29,,,,,,,,,M45
2025-05-30,,,,,,,,,M45
2025-05-31,,,,,,,,,M45
2025-06-01,,,,,,,,,M45
2025-06-02,,,,,,,,,M45
2025-06-03,,,,,,,,,M45
2025-06-04,,,,,,,,,M45
2025-06-05,,,,,,,,,M45
2025-06-06,,,,,,,,,M45
2025-06-07,,,,,,,,,M45
2025-06-08,,,,,,,,,M45
2025-06-09,,,,,,,,,M45
2025-06-10,,,,,,,,,M45
2025-06-11,,,,,,,,,M45
2025-06-12,,,,,,,,,M45
2025-06-13,,,,,,,,,M45
2025-06-14,,,,,,,,,M45
2025-06-15,,,,,,,,,M45
2025-06-16,,,,,,,,,M45
2025-06-17,,,,,,,,,M45
2025-06-18,,,,,,,,,M45
2025-06-19,,,,,,,,,M45
2025-06-20,,,,,,,,,M45
2025-06-21,,,,,,,,,M45
2025-06-22,,,,,,,,,M45
2025-06-23,,,,,,,,,M45
2025-06-24,,,,,,,,,M45
2025-06-25,,,,,,,,,M45
2025-06-26,,,,,,,,,M45
2025-06-27,,,,,,,,,M45
2025-06-28,,,,,,,,,M45
2025-06-29,,,,,,,,,M45
2025-06-30,,,,,,,,,M45
2025-07-01,,,,,,,,,M45
2025-07-02,,,,,,,,,M45
2025-07-03,,,,,,,,,M45
2025-07-04,,,,,,,,,M45
2025-07-05,,,,,,,,,M45
2025-07-06,,,,,,,,,M45
2025-07-07,,,,,,,,,M45
2025-07-08,,,,,,,,,M45
2025-07-09,,,,,,,,,M45
2025-07-10,,,,,,,,,M45
2025-07-11,,,,,,,,,M45
2025-07-12,,,,,,,,,M45
2025-07-13,,,,,,,,,M45
2025-07-14,,,,,,,,,M45
2025-07-15,,,,,,,,,M45
2025-07-16,,,,,,,,,M45
2025-07-17,,,,,,,,,M45
2025-07-18,,,,,,,,,M45
2025-07-19,,,,,,,,,M45
2025-07-20,,,,,,,,,M45
2025-07-21,,,,,,,,,M45
2025-07-22,,,,,,,,,M45
2025-07-23,,,,,,,,,M45
2025-07-24,,,,,,,,,M45
2025-07-25,,,,,,,,,M45
2025-07-26,,,,,,,,,M45
2025-07-27,,,,,,,,,M45
2025-07-28,,,,,,,,,M45
2025-07-29,,,,,,,,,M45
2025-07-30,,,,,,,,,M45
2025-07-31,,,,,,,,,M45
2025-08-01,,,,,,,,,M45
2025-08-02,,,,,,,,,M45
2025-08-03,,,,,,,,,M45
2025-08-04,,,,,,,,,M45
2025-08-05,,,,,,,,,M45
2025-08-06,,,,,,,,,M45
2025-08-07,,,,,,,,,M45
2025-08-08,,,,,,,,,M45
2025-08-09,,,,,,,,,M45
2025-08-10,,,,,,,,,M45
2025-08-11,,,,,,,,,M45
2025-08-12,,,,,,,,,M45
2025-08-13,,,,,,,,,M45
2025-08-14,,,,,,,,,M45
2025-08-15,,,,,,,,,M45
2025-08-16,,,,,,,,,M45
2025-08-17,,,,,,,,,M45
2025-08-19,,,,,,,,,M45
2025-08-20,,,,,,,,,M45
2025-08-21,,,,,,,,,M45
2025-08-22,,,,,,,,,M45
2025-08-23,,,,,,,,,M45
2025-08-24,,,,,,,,,M45
2025-08-25,,,,,,,,,M45
2025-08-26,,,,,,,,,M45
2025-08-27,,,,,,,,,M45
2025-08-28,,,,,,,,,M45
2025-08-29,,,,,,,,,M45
2025-08-30,,,,,,,,,M45
2025-08-31,,,,,,,,,M45
