date,mean_amplitude,mean_acrophase,mean_mesor,amplitude_std,acrophase_std,mesor_std,p_value,r_squared,Label
2022-06-15,,,,,,,,,M10
2022-06-16,,,,,,,,,M10
2022-06-17,,,,,,,,,M10
2022-06-18,,,,,,,,,M10
2022-06-19,,,,,,,,,M10
2022-06-20,,,,,,,,,M10
2022-06-21,,,,,,,,,M10
2022-06-22,,,,,,,,,M10
2022-06-23,,,,,,,,,M10
2022-06-24,,,,,,,,,M10
2022-06-25,,,,,,,,,M10
2022-06-26,,,,,,,,,M10
2022-06-27,,,,,,,,,M10
2022-06-28,,,,,,,,,M10
2022-06-29,,,,,,,,,M10
2022-06-30,,,,,,,,,M10
2022-07-01,,,,,,,,,M10
2022-07-02,,,,,,,,,M10
2022-07-03,,,,,,,,,M10
2022-07-04,,,,,,,,,M10
2022-07-05,,,,,,,,,M10
2022-07-06,,,,,,,,,M10
2022-07-07,,,,,,,,,M10
2022-07-08,,,,,,,,,M10
2022-07-09,,,,,,,,,M10
2022-07-10,,,,,,,,,M10
2022-07-11,,,,,,,,,M10
2022-07-12,,,,,,,,,M10
2022-07-22,,,,,,,,,M10
2022-07-23,,,,,,,,,M10
2022-07-24,,,,,,,,,M10
2022-07-25,,,,,,,,,M10
2022-07-26,,,,,,,,,M10
2022-07-27,,,,,,,,,M10
2022-07-28,,,,,,,,,M10
2022-07-29,,,,,,,,,M10
2022-07-30,,,,,,,,,M10
2022-07-31,,,,,,,,,M10
2022-08-01,,,,,,,,,M10
2022-08-02,,,,,,,,,M10
2022-08-03,,,,,,,,,M10
2022-08-04,,,,,,,,,M10
2022-08-05,,,,,,,,,M10
2022-08-06,,,,,,,,,M10
2022-08-07,,,,,,,,,M10
2022-08-08,,,,,,,,,M10
2022-08-09,,,,,,,,,M10
2022-08-10,,,,,,,,,M10
2022-08-11,,,,,,,,,M10
2022-08-12,,,,,,,,,M10
2022-08-13,,,,,,,,,M10
2022-08-14,,,,,,,,,M10
2022-08-15,,,,,,,,,M10
2022-08-16,,,,,,,,,M10
2022-08-17,,,,,,,,,M10
2022-08-18,,,,,,,,,M10
2022-08-19,,,,,,,,,M10
2022-08-20,,,,,,,,,M10
2022-08-21,,,,,,,,,M10
2022-08-22,,,,,,,,,M10
2022-08-23,,,,,,,,,M10
2022-08-24,,,,,,,,,M10
2022-08-25,,,,,,,,,M10
2022-08-26,,,,,,,,,M10
2022-08-27,,,,,,,,,M10
2022-08-28,,,,,,,,,M10
2022-08-29,,,,,,,,,M10
2022-08-30,,,,,,,,,M10
2022-08-31,,,,,,,,,M10
2022-09-01,,,,,,,,,M10
2022-09-02,,,,,,,,,M10
2022-09-03,,,,,,,,,M10
2022-09-04,,,,,,,,,M10
2022-09-05,,,,,,,,,M10
2022-09-06,,,,,,,,,M10
2022-09-07,,,,,,,,,M10
2022-09-08,,,,,,,,,M10
2022-09-09,,,,,,,,,M10
2022-09-10,,,,,,,,,M10
2022-09-11,,,,,,,,,M10
2022-09-12,,,,,,,,,M10
2022-09-13,,,,,,,,,M10
2024-02-21,,,,,,,,,M10
2024-02-22,,,,,,,,,M10
2024-02-23,,,,,,,,,M10
2024-02-24,,,,,,,,,M10
2024-02-25,,,,,,,,,M10
2024-02-26,,,,,,,,,M10
2024-02-27,,,,,,,,,M10
2024-02-28,,,,,,,,,M10
2024-02-29,,,,,,,,,M10
2024-03-01,,,,,,,,,M10
2024-03-02,,,,,,,,,M10
2024-03-03,,,,,,,,,M10
2024-03-04,,,,,,,,,M10
2024-03-05,,,,,,,,,M10
2024-03-06,,,,,,,,,M10
2024-03-07,,,,,,,,,M10
2024-03-08,,,,,,,,,M10
2024-03-09,,,,,,,,,M10
2024-03-11,,,,,,,,,M10
2024-03-12,,,,,,,,,M10
2024-03-13,,,,,,,,,M10
2024-03-14,,,,,,,,,M10
2024-03-15,,,,,,,,,M10
2024-03-16,,,,,,,,,M10
2024-03-17,,,,,,,,,M10
2024-03-18,,,,,,,,,M10
2024-03-19,,,,,,,,,M10
2024-03-20,,,,,,,,,M10
2024-03-21,,,,,,,,,M10
2024-03-22,,,,,,,,,M10
2024-03-23,,,,,,,,,M10
2025-06-12,,,,,,,,,M10
2025-06-13,,,,,,,,,M10
2025-06-14,,,,,,,,,M10
2025-06-15,,,,,,,,,M10
2025-06-16,,,,,,,,,M10
2025-06-17,,,,,,,,,M10
2025-06-18,,,,,,,,,M10
2025-06-19,,,,,,,,,M10
2025-06-20,,,,,,,,,M10
2025-06-21,,,,,,,,,M10
2025-06-22,,,,,,,,,M10
2025-06-23,,,,,,,,,M10
2025-06-24,,,,,,,,,M10
2025-06-25,,,,,,,,,M10
2025-06-26,,,,,,,,,M10
2025-06-27,,,,,,,,,M10
2025-06-28,,,,,,,,,M10
2025-06-29,,,,,,,,,M10
2025-06-30,,,,,,,,,M10
2025-07-01,,,,,,,,,M10
2025-07-02,,,,,,,,,M10
2025-07-03,,,,,,,,,M10
2025-07-04,,,,,,,,,M10
2025-07-05,,,,,,,,,M10
2025-07-06,,,,,,,,,M10
2025-07-07,,,,,,,,,M10
2025-07-08,,,,,,,,,M10
2025-07-09,,,,,,,,,M10
2025-07-10,,,,,,,,,M10
2025-07-11,,,,,,,,,M10
