date,mean_amplitude,mean_acrophase,mean_mesor,amplitude_std,acrophase_std,mesor_std,p_value,r_squared,Label
2025-06-14,,,,,,,,,M48
2025-06-15,,,,,,,,,M48
2025-06-16,,,,,,,,,M48
2025-06-17,,,,,,,,,M48
2025-06-18,,,,,,,,,M48
2025-06-19,,,,,,,,,M48
2025-06-20,,,,,,,,,M48
2025-06-21,,,,,,,,,M48
2025-06-22,,,,,,,,,M48
2025-06-23,,,,,,,,,M48
2025-06-24,,,,,,,,,M48
2025-06-25,,,,,,,,,M48
2025-06-26,,,,,,,,,M48
2025-06-27,,,,,,,,,M48
2025-06-28,,,,,,,,,M48
2025-06-29,,,,,,,,,M48
2025-06-30,,,,,,,,,M48
2025-07-01,,,,,,,,,M48
2025-07-02,,,,,,,,,M48
2025-07-03,,,,,,,,,M48
2025-07-04,,,,,,,,,M48
2025-07-05,,,,,,,,,M48
2025-07-06,,,,,,,,,M48
2025-07-07,,,,,,,,,M48
2025-07-08,,,,,,,,,M48
2025-07-09,,,,,,,,,M48
2025-07-10,,,,,,,,,M48
2025-07-11,,,,,,,,,M48
2025-07-12,,,,,,,,,M48
2025-07-13,,,,,,,,,M48
2025-07-14,,,,,,,,,M48
2025-07-15,,,,,,,,,M48
2025-07-16,,,,,,,,,M48
2025-07-17,,,,,,,,,M48
2025-07-18,,,,,,,,,M48
2025-07-19,,,,,,,,,M48
2025-07-20,,,,,,,,,M48
2025-07-21,,,,,,,,,M48
2025-07-22,,,,,,,,,M48
2025-07-23,,,,,,,,,M48
2025-07-24,,,,,,,,,M48
2025-07-25,,,,,,,,,M48
2025-07-26,,,,,,,,,M48
2025-07-27,,,,,,,,,M48
2025-07-28,,,,,,,,,M48
2025-07-29,,,,,,,,,M48
2025-07-30,,,,,,,,,M48
2025-07-31,,,,,,,,,M48
2025-08-01,,,,,,,,,M48
2025-08-02,,,,,,,,,M48
2025-08-03,,,,,,,,,M48
2025-08-04,,,,,,,,,M48
2025-08-05,,,,,,,,,M48
2025-08-06,,,,,,,,,M48
2025-08-07,,,,,,,,,M48
2025-08-08,,,,,,,,,M48
2025-08-09,,,,,,,,,M48
2025-08-10,,,,,,,,,M48
2025-08-11,,,,,,,,,M48
2025-08-12,,,,,,,,,M48
2025-08-13,,,,,,,,,M48
2025-08-14,,,,,,,,,M48
2025-08-15,,,,,,,,,M48
2025-08-16,,,,,,,,,M48
2025-08-17,,,,,,,,,M48
2025-08-18,,,,,,,,,M48
2025-08-19,,,,,,,,,M48
2025-08-20,,,,,,,,,M48
2025-08-21,,,,,,,,,M48
2025-08-22,,,,,,,,,M48
2025-08-23,,,,,,,,,M48
2025-08-24,,,,,,,,,M48
2025-08-25,,,,,,,,,M48
2025-08-26,,,,,,,,,M48
2025-08-27,,,,,,,,,M48
2025-08-28,,,,,,,,,M48
2025-08-29,,,,,,,,,M48
